epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.178,0.20179,2.10287,1.03084,0.33134,0.64804,0.39882,0.39174,0.24899,1.39971,0.43529,0.00333041,0.00333041,0.00333041
2,668.619,0.12084,1.28182,0.94595,0.32665,0.57572,0.41115,0.38857,0.36181,1.38513,0.56055,0.00663076,0.00663076,0.00663076
3,975.452,0.12813,1.2902,0.9514,0.29481,0.60869,0.35295,0.31521,0.38356,1.53474,0.63122,0.00989811,0.00989811,0.00989811
4,1279.81,0.11276,1.27392,0.94081,0.37755,0.62397,0.46488,0.46026,0.27705,1.21594,0.4625,0.0098515,0.0098515,0.0098515
5,1534.48,0.08512,1.18664,0.92332,0.44517,0.64452,0.51686,0.5163,0.25051,1.20907,0.40726,0.009802,0.009802,0.009802
6,1789.05,0.07445,1.12312,0.91939,0.4907,0.64978,0.58329,0.58221,0.22172,1.08046,0.37954,0.0097525,0.0097525,0.0097525
7,2043.45,0.06653,1.06879,0.91404,0.51157,0.63703,0.58716,0.58536,0.24365,1.07056,0.40232,0.009703,0.009703,0.009703
8,2297.69,0.0616,1.03766,0.9108,0.53461,0.67432,0.62596,0.62395,0.24628,0.99078,0.40092,0.0096535,0.0096535,0.0096535
9,2552.25,0.05799,1.00018,0.90898,0.55121,0.68304,0.64423,0.64277,0.22594,0.97181,0.37943,0.009604,0.009604,0.009604
10,2806.41,0.05391,0.95965,0.9108,0.58045,0.67099,0.66845,0.66834,0.20022,0.94594,0.34501,0.0095545,0.0095545,0.0095545
11,3109.3,0.05183,0.93971,0.90603,0.57415,0.70574,0.68215,0.68192,0.21814,0.9357,0.3737,0.009505,0.009505,0.009505
12,3371.97,0.04927,0.92214,0.90777,0.61381,0.67643,0.69772,0.69754,0.22657,0.89596,0.37813,0.0094555,0.0094555,0.0094555
13,3689.36,0.04912,0.89721,0.90783,0.60818,0.69063,0.7073,0.70719,0.23436,0.84981,0.39749,0.009406,0.009406,0.009406
14,4054.22,0.04726,0.88264,0.90582,0.62988,0.71807,0.72919,0.72911,0.20423,0.81195,0.35624,0.0093565,0.0093565,0.0093565
15,4403.13,0.04695,0.86058,0.90549,0.6383,0.71834,0.73574,0.73508,0.24265,0.83776,0.39975,0.009307,0.009307,0.009307
16,4719.52,0.0434,0.84478,0.90652,0.63367,0.72503,0.7443,0.74398,0.24257,0.82711,0.39457,0.0092575,0.0092575,0.0092575
17,5001.84,0.04358,0.83481,0.90562,0.67017,0.72356,0.75497,0.7549,0.20571,0.78284,0.3538,0.009208,0.009208,0.009208
18,5262.23,0.04281,0.82464,0.90579,0.65958,0.73664,0.76604,0.76601,0.24108,0.80203,0.40012,0.0091585,0.0091585,0.0091585
19,381.459,0.04106,0.79778,0.90283,0.66882,0.73309,0.7698,0.76968,0.24445,0.7874,0.40113,0.009109,0.009109,0.009109
20,701.708,0.04095,0.79498,0.90198,0.66566,0.74242,0.76913,0.76904,0.20672,0.7464,0.35636,0.0090595,0.0090595,0.0090595
21,1008.03,0.04026,0.78107,0.9031,0.69505,0.74186,0.78379,0.7837,0.23457,0.75103,0.38001,0.00901,0.00901,0.00901
22,1309.35,0.03967,0.77336,0.90284,0.69029,0.74579,0.78458,0.78454,0.2285,0.76477,0.37807,0.0089605,0.0089605,0.0089605
23,1604.11,0.03962,0.77034,0.90274,0.67552,0.75987,0.78291,0.78284,0.2315,0.75106,0.37849,0.008911,0.008911,0.008911
24,1931.5,0.03891,0.75468,0.90436,0.6866,0.75085,0.78683,0.78678,0.21873,0.7404,0.36342,0.0088615,0.0088615,0.0088615
25,2185.29,0.03684,0.74174,0.90285,0.67546,0.7554,0.78871,0.78867,0.20519,0.75106,0.34815,0.008812,0.008812,0.008812
26,2438.81,0.03786,0.73546,0.90206,0.69141,0.74555,0.78964,0.78957,0.20104,0.74453,0.3454,0.0087625,0.0087625,0.0087625
27,2692.54,0.03853,0.72667,0.90232,0.69158,0.76726,0.79606,0.79605,0.2207,0.74592,0.369,0.008713,0.008713,0.008713
28,2946.28,0.0384,0.71425,0.9059,0.70611,0.76258,0.80167,0.80164,0.21782,0.74289,0.36903,0.0086635,0.0086635,0.0086635
