epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.418,0.21428,1.69729,0.97972,0.37927,0.6924,0.47777,0.47712,0.11205,1.39218,1.07016,0.0033308,0.0033308,0.0033308
2,531.576,0.1995,1.27134,0.93123,0.41454,0.58236,0.47947,0.47576,0.09126,1.19917,1.07186,0.00664214,0.00664214,0.00664214
3,765.79,0.21477,1.30771,0.93509,0.41377,0.55304,0.42507,0.42419,0.12343,1.28028,1.07629,0.00993148,0.00993148,0.00993148
4,997.331,0.18899,1.29286,0.9273,0.33551,0.62994,0.45121,0.44871,0.08222,1.27707,1.06478,0.009901,0.009901,0.009901
5,1232.07,0.15037,1.21935,0.91643,0.4336,0.64257,0.5113,0.50928,0.08442,1.11899,1.06177,0.009868,0.009868,0.009868
6,1466.63,0.12915,1.14067,0.91084,0.50312,0.59246,0.56722,0.56646,0.0698,1.06197,1.05453,0.009835,0.009835,0.009835
7,1715.43,0.11847,1.10064,0.90645,0.50715,0.6638,0.59851,0.59838,0.04563,1.0101,1.05544,0.009802,0.009802,0.009802
8,1954.04,0.11064,1.0636,0.90623,0.52554,0.67341,0.62272,0.62245,0.04366,0.95101,1.0508,0.009769,0.009769,0.009769
9,2192.07,0.10382,1.02601,0.90525,0.55013,0.69484,0.65287,0.65277,0.04523,0.91356,1.0493,0.009736,0.009736,0.009736
10,2427.87,0.09757,0.99395,0.90483,0.55851,0.6734,0.65829,0.65812,0.02747,0.88758,1.04873,0.009703,0.009703,0.009703
11,2660.02,0.0951,0.96596,0.9034,0.57252,0.67582,0.67373,0.67373,0.02702,0.86415,1.04633,0.00967,0.00967,0.00967
12,2889.46,0.0913,0.94606,0.90244,0.59961,0.70773,0.70775,0.70741,0.02965,0.81374,1.04644,0.009637,0.009637,0.009637
13,3119.09,0.08822,0.92809,0.90332,0.59587,0.70571,0.70292,0.70257,0.03823,0.81616,1.04682,0.009604,0.009604,0.009604
14,3347.76,0.08612,0.90919,0.90226,0.62189,0.71289,0.71933,0.7193,0.03854,0.78278,1.04685,0.009571,0.009571,0.009571
15,3577.68,0.08424,0.88965,0.90305,0.62082,0.72485,0.729,0.72898,0.03211,0.76412,1.04543,0.009538,0.009538,0.009538
16,3817.19,0.08126,0.87535,0.90237,0.61237,0.74303,0.73382,0.73382,0.04451,0.7573,1.0457,0.009505,0.009505,0.009505
17,4061.58,0.07949,0.85925,0.90181,0.62575,0.72554,0.73868,0.73841,0.02741,0.75356,1.04589,0.009472,0.009472,0.009472
18,4304.83,0.07733,0.85498,0.90211,0.64565,0.73346,0.75228,0.75222,0.02981,0.72209,1.0462,0.009439,0.009439,0.009439
19,4549.09,0.07677,0.84018,0.90023,0.65104,0.72791,0.75478,0.75475,nan,nan,nan,0.009406,0.009406,0.009406
20,4792.04,0.07616,0.82776,0.90192,0.65075,0.73409,0.76514,0.76511,0.03544,0.70581,1.04536,0.009373,0.009373,0.009373
21,5036,0.07419,0.81705,0.9016,0.64856,0.75102,0.76583,0.76492,0.03381,0.71342,1.04566,0.00934,0.00934,0.00934
22,5278.99,0.07272,0.80475,0.90067,0.6554,0.73518,0.76575,0.76574,0.03704,0.69614,1.04456,0.009307,0.009307,0.009307
23,5522.82,0.07209,0.79611,0.89998,0.68728,0.72151,0.77504,0.77494,0.04499,0.68682,1.04441,0.009274,0.009274,0.009274
24,5766.57,0.07251,0.793,0.89943,0.67701,0.74231,0.7819,0.7819,0.03376,0.67018,1.04537,0.009241,0.009241,0.009241
25,6010.32,0.07189,0.78848,0.89709,0.68718,0.7493,0.78769,0.78769,0.04489,0.66104,1.04503,0.009208,0.009208,0.009208
26,6254.69,0.06966,0.77745,0.89982,0.67574,0.75157,0.7867,0.78666,0.03652,0.65943,1.04507,0.009175,0.009175,0.009175
27,6497.32,0.06951,0.76255,0.904,0.68883,0.74491,0.79213,0.79213,0.03927,0.65261,1.04489,0.009142,0.009142,0.009142
28,6740.27,0.06783,0.75289,0.89994,0.69988,0.73638,0.79518,0.79518,0.02778,0.64631,1.04433,0.009109,0.009109,0.009109
29,6984.09,0.06774,0.75077,0.89975,0.69604,0.74923,0.79449,0.79449,nan,nan,nan,0.009076,0.009076,0.009076
30,7227.4,0.06761,0.75083,0.8993,0.68431,0.76387,0.80063,0.8006,0.03123,0.63612,1.04415,0.009043,0.009043,0.009043
31,7471.05,0.06641,0.72986,0.90042,0.70701,0.74929,0.80111,0.80111,0.03339,0.63048,1.04356,0.00901,0.00901,0.00901
32,7714.84,0.06867,0.73456,0.89982,0.68423,0.75859,0.79547,0.79414,0.02796,0.64981,1.04379,0.008977,0.008977,0.008977
33,7958.4,0.06636,0.73211,0.89679,0.6967,0.76305,0.80547,0.80544,0.02764,0.62031,1.04393,0.008944,0.008944,0.008944
34,8202.3,0.06616,0.72159,0.89806,0.70985,0.74695,0.8066,0.80654,0.03139,0.622,1.04333,0.008911,0.008911,0.008911
35,8445.03,0.06557,0.72017,0.89952,0.71191,0.75882,0.80954,0.80804,0.02655,0.63091,1.04427,0.008878,0.008878,0.008878
36,8689.04,0.06415,0.70537,0.89964,0.70634,0.77306,0.81113,0.81037,0.02858,0.62048,1.04382,0.008845,0.008845,0.008845
37,8932.41,0.06529,0.70518,0.89995,0.70566,0.76817,0.81088,0.81088,0.02811,0.61157,1.04279,0.008812,0.008812,0.008812
38,9175.9,0.06416,0.70519,0.90072,0.71638,0.76673,0.81415,0.81415,0.03084,0.61095,1.04252,0.008779,0.008779,0.008779
39,9420.16,0.06589,0.69877,0.89988,0.72582,0.75691,0.81676,0.81676,0.03054,0.60286,1.04278,0.008746,0.008746,0.008746
40,9663.29,0.063,0.6906,0.89975,0.71655,0.77397,0.81971,0.81971,0.03185,0.59418,1.04342,0.008713,0.008713,0.008713
41,9907.07,0.06531,0.68388,0.89838,0.716,0.7767,0.81808,0.81806,0.03261,0.59723,1.0433,0.00868,0.00868,0.00868
42,10150.4,0.06243,0.68017,0.89979,0.70953,0.78574,0.81781,0.81781,0.03368,0.5988,1.04325,0.008647,0.008647,0.008647
43,10393.6,0.0615,0.68139,0.8999,0.72338,0.76861,0.81906,0.81897,0.03104,0.59728,1.04326,0.008614,0.008614,0.008614
44,10636.4,0.06106,0.67245,0.89772,0.71363,0.77989,0.82138,0.82128,0.03033,0.59256,1.04327,0.008581,0.008581,0.008581
45,10879.9,0.06084,0.66947,0.89846,0.73173,0.75466,0.82325,0.82316,0.03201,0.59106,1.04295,0.008548,0.008548,0.008548
46,11124.2,0.06056,0.66034,0.89848,0.72508,0.76573,0.82359,0.82351,0.03082,0.58943,1.04282,0.008515,0.008515,0.008515
47,11368.7,0.06017,0.65439,0.89882,0.72443,0.76648,0.82299,0.82288,0.03136,0.58868,1.04275,0.008482,0.008482,0.008482
48,11611.3,0.0597,0.65321,0.89751,0.7206,0.77007,0.82342,0.82332,0.03087,0.58728,1.04274,0.008449,0.008449,0.008449
49,11854.4,0.05895,0.65046,0.90067,0.7193,0.77505,0.8248,0.82473,0.03195,0.58457,1.0428,0.008416,0.008416,0.008416
50,12098.1,0.05812,0.64851,0.8989,0.71356,0.78338,0.82568,0.82562,0.03268,0.58293,1.04284,0.008383,0.008383,0.008383
51,12342.3,0.05914,0.63919,0.89917,0.71621,0.78007,0.82526,0.82521,0.03319,0.58435,1.04271,0.00835,0.00835,0.00835
52,12585.1,0.05836,0.63517,0.89609,0.72703,0.76627,0.82449,0.8244,0.03236,0.58541,1.04271,0.008317,0.008317,0.008317
53,12829.1,0.05756,0.63347,0.89897,0.72678,0.76888,0.82442,0.82435,0.03185,0.58458,1.04268,0.008284,0.008284,0.008284
54,13072.9,0.05776,0.62733,0.898,0.72905,0.7652,0.82505,0.82501,0.03137,0.58322,1.04267,0.008251,0.008251,0.008251
55,13315.7,0.05837,0.61908,0.89912,0.72768,0.77111,0.82528,0.82519,0.03175,0.58265,1.04271,0.008218,0.008218,0.008218
56,13557.3,0.05847,0.61752,0.89875,0.7393,0.76184,0.82646,0.82638,0.03095,0.58056,1.04275,0.008185,0.008185,0.008185
57,13801.5,0.05742,0.61275,0.89948,0.73469,0.76843,0.82732,0.82725,0.03086,0.57872,1.04277,0.008152,0.008152,0.008152
58,14045.4,0.05709,0.61002,0.90111,0.73358,0.76906,0.8282,0.82817,0.0313,0.57783,1.04273,0.008119,0.008119,0.008119
59,14289.3,0.05646,0.60326,0.90063,0.73643,0.77037,0.82846,0.8284,0.03226,0.57724,1.04269,0.008086,0.008086,0.008086
60,14532.8,0.05623,0.60476,0.90063,0.73119,0.77315,0.82865,0.82857,0.03284,0.57686,1.04266,0.008053,0.008053,0.008053
61,14776.4,0.05547,0.5999,0.89863,0.73368,0.77105,0.82896,0.82889,0.03353,0.57678,1.04262,0.00802,0.00802,0.00802
62,15020.3,0.05654,0.59276,0.90032,0.73217,0.77233,0.82936,0.82929,0.03381,0.57674,1.04258,0.007987,0.007987,0.007987
63,15264.3,0.05683,0.59504,0.89885,0.72663,0.77798,0.8296,0.82953,0.03445,0.57695,1.04255,0.007954,0.007954,0.007954
64,15509.6,0.05591,0.59015,0.89826,0.7205,0.78811,0.82952,0.82945,0.03477,0.57741,1.04251,0.007921,0.007921,0.007921
65,15752.9,0.05643,0.58342,0.8986,0.72004,0.78681,0.8295,0.82942,0.03537,0.57759,1.0425,0.007888,0.007888,0.007888
66,15996.7,0.05796,0.58907,0.89744,0.72422,0.78056,0.82979,0.82971,0.03509,0.57733,1.04244,0.007855,0.007855,0.007855
67,16241,0.05512,0.57902,0.90013,0.72148,0.78503,0.82986,0.82979,0.03484,0.57715,1.04238,0.007822,0.007822,0.007822
68,16484.5,0.05377,0.57525,0.90054,0.72188,0.78467,0.82992,0.82986,0.03485,0.5773,1.04236,0.007789,0.007789,0.007789
69,16728.2,0.05384,0.57271,0.89834,0.71789,0.79054,0.83012,0.83007,0.03503,0.57725,1.04235,0.007756,0.007756,0.007756
70,16972.4,0.05389,0.56119,0.89812,0.71676,0.79302,0.83033,0.8303,0.03512,0.57691,1.04234,0.007723,0.007723,0.007723
71,17216,0.05421,0.57244,0.90026,0.71838,0.79176,0.83053,0.8305,0.03527,0.57668,1.04234,0.00769,0.00769,0.00769
72,17460,0.05421,0.56741,0.89951,0.72166,0.78875,0.83048,0.83046,0.03534,0.57686,1.04234,0.007657,0.007657,0.007657
73,17702.6,0.05392,0.56315,0.90059,0.72047,0.78981,0.83093,0.83091,0.0352,0.5768,1.04232,0.007624,0.007624,0.007624
74,17945.1,0.05327,0.55678,0.89729,0.71915,0.79172,0.83124,0.83122,0.03542,0.57655,1.04231,0.007591,0.007591,0.007591
75,18188.7,0.05274,0.54698,0.8993,0.7206,0.79322,0.83182,0.83179,0.03545,0.57606,1.04229,0.007558,0.007558,0.007558
76,18433.1,0.05412,0.54845,0.89855,0.72106,0.7934,0.83215,0.83212,0.03569,0.57586,1.04226,0.007525,0.007525,0.007525
77,18677.2,0.05476,0.5465,0.89857,0.72314,0.79393,0.83252,0.83247,0.03603,0.5758,1.04223,0.007492,0.007492,0.007492
78,18920.6,0.05455,0.54416,0.89647,0.72247,0.7941,0.83288,0.83282,0.03582,0.57537,1.0422,0.007459,0.007459,0.007459
79,19164,inf,0.54309,0.89734,0.72256,0.7951,0.83329,0.83325,0.03571,0.57498,1.04216,0.007426,0.007426,0.007426
80,19407.9,0.0534,0.53754,0.90021,0.72101,0.79914,0.83347,0.83343,0.0362,0.57479,1.04213,0.007393,0.007393,0.007393
81,19652.2,0.05366,0.53833,0.8966,0.72087,0.79986,0.83386,0.83382,0.03651,0.57475,1.0421,0.00736,0.00736,0.00736
82,19896,0.05308,0.53119,0.89931,0.7208,0.79914,0.83418,0.83415,0.03658,0.57473,1.04207,0.007327,0.007327,0.007327
83,20140.1,0.05326,0.53668,0.89739,0.71969,0.80166,0.83442,0.83433,0.03694,0.57488,1.04205,0.007294,0.007294,0.007294
84,20384.7,0.05188,0.52553,0.89954,0.72078,0.7996,0.8347,0.83463,0.03711,0.57521,1.04204,0.007261,0.007261,0.007261
85,20628.3,0.0522,0.51707,0.89904,0.72115,0.79989,0.83489,0.83477,0.03745,0.57563,1.04203,0.007228,0.007228,0.007228
86,20872,0.05206,0.51816,0.89934,0.72176,0.79972,0.83521,0.83508,0.03751,0.57654,1.04203,0.007195,0.007195,0.007195
87,21115.9,0.0519,0.51861,0.89836,0.72187,0.79856,0.83535,0.83522,0.03804,0.57775,1.04204,0.007162,0.007162,0.007162
88,21360.6,0.05174,0.50838,0.89812,0.72267,0.79883,0.83562,0.83535,0.03807,0.57931,1.04204,0.007129,0.007129,0.007129
89,21604.2,0.05235,0.5116,0.90024,0.72317,0.79742,0.83577,0.8355,0.03821,0.58053,1.04203,0.007096,0.007096,0.007096
90,21847.5,0.05083,0.50307,0.89826,0.72528,0.79624,0.836,0.83567,0.03815,0.58299,1.04202,0.007063,0.007063,0.007063
91,22091.7,0.05074,0.49669,0.89933,0.72376,0.79919,0.83617,0.83575,0.03797,0.58478,1.042,0.00703,0.00703,0.00703
92,22334.8,0.05129,0.5011,0.89744,0.72717,0.79541,0.8364,0.83595,0.0379,0.58745,1.04199,0.006997,0.006997,0.006997
93,22578.5,0.05126,0.49969,0.89723,0.72782,0.79508,0.83654,0.83602,0.03808,0.58988,1.04198,0.006964,0.006964,0.006964
94,22822.9,0.05072,0.49893,0.89917,0.72931,0.79414,0.83684,0.83625,0.03802,0.59071,1.04195,0.006931,0.006931,0.006931
95,23067,0.04969,0.49821,0.89726,0.73237,0.79016,0.8371,0.8365,0.03791,0.5916,1.0419,0.006898,0.006898,0.006898
96,23310.5,0.04969,0.49,0.89862,0.73132,0.7914,0.83706,0.83642,0.03814,0.59198,1.04188,0.006865,0.006865,0.006865
97,23553.7,0.04936,0.48742,0.89944,0.73199,0.79013,0.83711,0.83649,0.03845,0.59122,1.04186,0.006832,0.006832,0.006832
98,23797.2,0.04943,0.48548,0.89981,0.73356,0.78735,0.83743,0.83682,0.03826,0.58997,1.04182,0.006799,0.006799,0.006799
99,24041,0.0495,0.47531,0.89827,0.73364,0.78775,0.83753,0.837,0.03797,0.58923,1.0418,0.006766,0.006766,0.006766
100,24282.8,0.04869,0.47186,0.89825,0.7357,0.78633,0.8377,0.83717,0.03767,0.58825,1.04178,0.006733,0.006733,0.006733
101,24526.1,0.04995,0.47499,0.89692,0.73635,0.78531,0.83778,0.83728,0.03798,0.58786,1.04177,0.0067,0.0067,0.0067
102,24769.6,0.05021,0.46313,0.89721,0.73559,0.78576,0.83794,0.8374,0.03798,0.58788,1.04175,0.006667,0.006667,0.006667
103,25014.1,0.05016,0.46971,0.89827,0.73679,0.78683,0.83796,0.83727,0.03782,0.58883,1.04173,0.006634,0.006634,0.006634
104,25256.9,0.05042,0.47273,0.89792,0.73486,0.78874,0.83799,0.83721,0.03745,0.58893,1.04172,0.006601,0.006601,0.006601
105,25499.6,0.04866,0.47049,0.9018,0.73787,0.78403,0.83818,0.83738,0.03741,0.58886,1.04172,0.006568,0.006568,0.006568
106,25742,0.04874,0.45515,0.89849,0.73942,0.78235,0.83826,0.8374,0.03729,0.58939,1.04173,0.006535,0.006535,0.006535
107,25985.8,0.04956,0.46216,0.89676,0.73813,0.78518,0.83838,0.83753,0.03726,0.59028,1.04173,0.006502,0.006502,0.006502
108,26229.8,0.04896,0.45986,0.90155,0.73915,0.78338,0.83841,0.83756,0.03717,0.59101,1.04174,0.006469,0.006469,0.006469
109,26473.7,0.049,0.45479,0.89714,0.74476,0.77767,0.83853,0.83754,0.03721,0.59182,1.04174,0.006436,0.006436,0.006436
110,26717.9,0.04856,0.4497,0.89796,0.74104,0.78185,0.83852,0.8375,0.03712,0.59226,1.04174,0.006403,0.006403,0.006403
111,26961,0.04849,0.44857,0.89648,0.73773,0.78622,0.83858,0.8375,0.03728,0.59301,1.04174,0.00637,0.00637,0.00637
112,27204,0.04871,0.44851,0.89853,0.73886,0.78399,0.8386,0.83745,0.03718,0.59409,1.04174,0.006337,0.006337,0.006337
113,27447.3,0.0476,0.44707,0.89983,0.74101,0.78374,0.83868,0.83751,0.03709,0.59389,1.04174,0.006304,0.006304,0.006304
114,27689.7,0.04813,0.4413,0.89757,0.73783,0.78704,0.83877,0.83748,0.03673,0.59478,1.04174,0.006271,0.006271,0.006271
115,27932.4,0.04713,0.43932,0.90029,0.73691,0.78702,0.83889,0.83759,0.03668,0.59581,1.04175,0.006238,0.006238,0.006238
116,28175.7,0.04772,0.43501,0.89848,0.7353,0.78878,0.839,0.83764,0.03673,0.59644,1.04174,0.006205,0.006205,0.006205
117,28418.8,0.04814,0.4339,0.8991,0.73618,0.78823,0.83912,0.83776,0.03673,0.59638,1.04174,0.006172,0.006172,0.006172
118,28662.6,0.04845,0.42351,0.89715,0.74186,0.78075,0.83919,0.83784,0.03619,0.59613,1.04174,0.006139,0.006139,0.006139
119,28905.5,0.04873,0.43306,0.89957,0.742,0.77977,0.8393,0.83797,0.03615,0.59641,1.04173,0.006106,0.006106,0.006106
120,29148.7,0.0487,0.42796,0.89845,0.74098,0.78018,0.83917,0.83783,0.03559,0.59661,1.04172,0.006073,0.006073,0.006073
121,29391.7,0.04871,0.42368,0.89704,0.7428,0.77926,0.83912,0.83786,0.03556,0.59676,1.04172,0.00604,0.00604,0.00604
122,29635.7,inf,0.4202,0.89568,0.74145,0.77919,0.83912,0.83786,0.03516,0.59728,1.04171,0.006007,0.006007,0.006007
123,29878.9,0.04747,0.41376,0.89845,0.74198,0.7783,0.83911,0.83784,0.03518,0.59834,1.04171,0.005974,0.005974,0.005974
124,30121.3,0.04717,0.41489,0.89896,0.74104,0.7795,0.83915,0.8379,0.03498,0.59805,1.04171,0.005941,0.005941,0.005941
125,30364.7,0.04716,0.41805,0.89868,0.743,0.77823,0.83912,0.83793,0.03484,0.59819,1.0417,0.005908,0.005908,0.005908
126,30607.6,0.04702,0.41131,0.89957,0.74086,0.77831,0.83913,0.83798,0.03458,0.59872,1.0417,0.005875,0.005875,0.005875
127,30851.1,0.04737,0.407,0.89889,0.74544,0.77652,0.83908,0.83782,0.03442,0.60017,1.0417,0.005842,0.005842,0.005842
128,31081.1,0.04714,0.40066,0.89709,0.73976,0.78018,0.83926,0.83799,0.03417,0.6004,1.0417,0.005809,0.005809,0.005809
129,31317.8,0.04737,0.40379,0.89907,0.74405,0.77759,0.83924,0.83795,0.03446,0.60203,1.04171,0.005776,0.005776,0.005776
130,31554.4,0.04628,0.39979,0.89908,0.74497,0.77632,0.83943,0.83816,0.034,0.60215,1.04171,0.005743,0.005743,0.005743
131,31791.4,0.04795,0.39606,0.89636,0.74559,0.77569,0.83944,0.83815,0.03414,0.60339,1.04172,0.00571,0.00571,0.00571
132,32028.2,0.0465,0.39117,0.89845,0.74848,0.77328,0.83947,0.83805,0.0337,0.60517,1.04173,0.005677,0.005677,0.005677
133,32264.6,0.04638,0.39043,0.89906,0.74763,0.77242,0.83956,0.83807,0.03344,0.60615,1.04173,0.005644,0.005644,0.005644
134,32501.5,0.04689,0.38356,0.8975,0.75058,0.77074,0.83962,0.83806,0.03338,0.60685,1.04174,0.005611,0.005611,0.005611
135,32738.4,0.04719,0.38163,0.90002,0.7461,0.77339,0.83964,0.83802,0.03373,0.60812,1.04176,0.005578,0.005578,0.005578
136,32974.5,0.0462,0.38384,0.89937,0.74472,0.77502,0.83965,0.83789,0.03382,0.60895,1.04177,0.005545,0.005545,0.005545
137,33211.3,0.04606,0.3802,0.89582,0.74469,0.77629,0.8397,0.83779,0.03387,0.61033,1.04179,0.005512,0.005512,0.005512
138,33447.7,0.04562,0.37933,0.89769,0.74173,0.78017,0.83957,0.83727,0.03369,0.61206,1.04179,0.005479,0.005479,0.005479
139,33683.9,0.04588,0.37876,0.89668,0.7288,0.79388,0.83945,0.83709,0.03384,0.61404,1.04181,0.005446,0.005446,0.005446
140,33920.4,0.04503,0.37153,0.89786,0.72895,0.79597,0.83941,0.8364,0.03405,0.61653,1.04185,0.005413,0.005413,0.005413
141,34156.6,0.04593,0.37223,0.89835,0.73337,0.79137,0.83932,0.83626,0.03432,0.61757,1.04187,0.00538,0.00538,0.00538
142,34393.3,0.04571,0.37642,0.89881,0.73267,0.79329,0.83888,0.8357,0.03446,0.61922,1.04188,0.005347,0.005347,0.005347
143,34630,0.04526,0.36234,0.89768,0.73114,0.79648,0.8388,0.83545,0.03479,0.62108,1.04189,0.005314,0.005314,0.005314
144,34866.5,0.04479,0.36862,0.89852,0.7271,0.79971,0.83839,0.83506,0.03522,0.62265,1.04194,0.005281,0.005281,0.005281
145,35102.8,0.04498,0.36829,0.89909,0.72649,0.80071,0.83807,0.83473,0.03513,0.62294,1.04189,0.005248,0.005248,0.005248
146,35339.6,0.04523,0.36082,0.89979,0.72778,0.79929,0.83803,0.83457,0.03521,0.62321,1.04191,0.005215,0.005215,0.005215
147,35576.3,0.04562,0.35048,0.8965,0.72831,0.79909,0.8379,0.83394,0.03547,0.62499,1.04193,0.005182,0.005182,0.005182
148,35812.7,0.04485,0.34984,0.89712,0.72986,0.79857,0.83756,0.83297,0.03573,0.62669,1.04196,0.005149,0.005149,0.005149
149,36049,inf,0.35729,0.89827,0.72818,0.80144,0.83767,0.8331,0.03567,0.62649,1.04195,0.005116,0.005116,0.005116
150,36285.2,0.04449,0.35182,0.89968,0.72656,0.80227,0.83766,0.83351,0.03561,0.62544,1.04189,0.005083,0.005083,0.005083
151,36520.6,0.04439,0.3434,0.90106,0.72554,0.80236,0.8374,0.8335,0.0353,0.62442,1.04187,0.00505,0.00505,0.00505
152,36756.7,0.04517,0.34843,0.89769,0.72537,0.80382,0.83739,0.8336,0.03541,0.62386,1.04186,0.005017,0.005017,0.005017
153,36992.9,0.04452,0.33966,0.89753,0.72543,0.80379,0.83732,0.83353,0.03542,0.62344,1.04187,0.004984,0.004984,0.004984
154,37229.3,0.04454,0.33605,0.89797,0.7261,0.80507,0.83715,0.83332,0.03552,0.62365,1.04188,0.004951,0.004951,0.004951
155,37465.5,0.04498,0.33922,0.89586,0.72553,0.80422,0.83673,0.8329,0.03551,0.62465,1.04187,0.004918,0.004918,0.004918
156,37701.9,0.04434,0.33645,0.89845,0.72594,0.802,0.83642,0.83251,0.03538,0.62592,1.0419,0.004885,0.004885,0.004885
157,37937.9,0.04433,0.32922,0.89655,0.72641,0.80161,0.83572,0.83169,0.035,0.62766,1.0419,0.004852,0.004852,0.004852
158,38173.6,0.04387,0.33564,0.89658,0.72576,0.80171,0.83497,0.83094,0.03459,0.62885,1.04189,0.004819,0.004819,0.004819
159,38409.9,0.04399,0.33133,0.89763,0.7259,0.80198,0.83429,0.83012,0.03462,0.63036,1.04191,0.004786,0.004786,0.004786
160,38646.3,0.04367,0.32099,0.89828,0.72514,0.80144,0.83382,0.82949,0.03412,0.63255,1.04193,0.004753,0.004753,0.004753
161,38882.5,0.04389,0.32566,0.89738,0.72474,0.80082,0.83301,0.82817,0.03432,0.63558,1.04195,0.00472,0.00472,0.00472
162,39119.2,0.04315,0.32688,0.89801,0.72379,0.80173,0.83238,0.82697,0.03431,0.63901,1.04196,0.004687,0.004687,0.004687
163,39355.8,0.04424,0.32031,0.8991,0.72444,0.80031,0.83208,0.82612,0.03406,0.64183,1.04198,0.004654,0.004654,0.004654
