epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.126,0.17296,2.22871,0.95908,0.22052,0.67314,0.28687,0.28432,0.2742,2.49597,0.48818,0.003331,0.003331,0.003331
2,946.361,0.14991,1.66132,0.91897,0.28917,0.58964,0.40019,0.38697,0.27622,1.73657,0.48995,0.00659835,0.00659835,0.00659835
3,1416.14,0.17049,1.50486,0.92106,0.26142,0.70852,0.33892,0.33708,0.27817,1.61506,0.46684,0.00979971,0.00979971,0.00979971
4,1889.39,0.15781,1.44721,0.91944,0.38157,0.68149,0.44821,0.4332,0.27751,1.35235,0.49737,0.009703,0.009703,0.009703
5,2368.67,0.12805,1.39057,0.90578,0.40551,0.67009,0.50307,0.48616,0.2838,1.20521,0.4671,0.009604,0.009604,0.009604
6,2848.63,0.11241,1.35299,0.90267,0.41114,0.65207,0.5051,0.48667,0.15682,1.19921,0.30508,0.009505,0.009505,0.009505
7,3327.33,0.10034,1.33075,0.8986,0.45185,0.66153,0.5728,0.5674,0.20856,1.10754,0.37367,0.009406,0.009406,0.009406
8,3806.34,0.09243,1.3159,0.8966,0.50196,0.65745,0.58848,0.57964,0.20499,1.0422,0.36889,0.009307,0.009307,0.009307
9,4285.18,0.08523,1.2952,0.89441,0.4975,0.63942,0.58861,0.57957,0.23358,1.0862,0.40783,0.009208,0.009208,0.009208
10,4770.57,0.08121,1.28467,0.8939,0.5219,0.66902,0.6278,0.62727,0.18978,0.99937,0.34211,0.009109,0.009109,0.009109
11,5257.78,0.0786,1.27272,0.89352,0.51792,0.66165,0.62075,0.61167,0.234,1.00003,0.4063,0.00901,0.00901,0.00901
12,5739.57,0.07469,1.25143,0.89117,0.54578,0.64579,0.6308,0.62839,0.21009,1.00419,0.37709,0.008911,0.008911,0.008911
13,6216.72,0.07284,1.24662,0.89144,0.57538,0.6853,0.66939,0.66797,0.22497,0.94253,0.39296,0.008812,0.008812,0.008812
