epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.199,0.03037,0.91811,0.88447,0.70476,0.75856,0.81096,0.81096,0.17596,0.77599,0.33719,0.003331,0.003331,0.003331
2,982.753,0.03898,0.95742,0.88751,0.68581,0.73803,0.78915,0.78913,0.18936,0.8143,0.34793,0.00659835,0.00659835,0.00659835
3,1481.91,0.05107,1.01259,0.88714,0.66478,0.72622,0.76435,0.7517,0.22125,0.8604,0.37614,0.00979971,0.00979971,0.00979971
4,1978.14,0.06077,1.08184,0.89214,0.61946,0.71684,0.72893,0.7273,0.20589,0.88585,0.36908,0.009703,0.009703,0.009703
5,2461.07,0.06235,1.08879,0.88887,0.64286,0.70516,0.73461,0.73446,0.1463,0.83854,0.28947,0.009604,0.009604,0.009604
6,2946.25,0.06254,1.08287,0.89043,0.65104,0.72338,0.75376,0.74833,0.19464,0.87203,0.36889,0.009505,0.009505,0.009505
7,3421.97,0.06105,1.09076,0.88906,0.68095,0.70902,0.76592,0.76592,0.14071,0.78565,0.30593,0.009406,0.009406,0.009406
8,3898.14,0.06089,1.08964,0.88916,0.65869,0.73251,0.76068,0.76058,0.14333,0.81679,0.28797,0.009307,0.009307,0.009307
9,4364.5,0.05973,1.08192,0.88894,0.65229,0.73744,0.75912,0.75893,0.20265,0.84892,0.3637,0.009208,0.009208,0.009208
10,4829.19,0.05891,1.08098,0.88876,0.65251,0.74904,0.77066,0.77066,0.13682,0.76818,0.2795,0.009109,0.009109,0.009109
11,5291.89,0.05751,1.07905,0.88876,0.63657,0.7414,0.75959,0.75327,0.17631,0.82012,0.31522,0.00901,0.00901,0.00901
12,5754.73,0.0568,1.06557,0.88727,0.67781,0.72412,0.76772,0.76735,0.15736,0.79711,0.30409,0.008911,0.008911,0.008911
13,6221.01,0.05766,1.07213,0.88845,0.65504,0.74887,0.77278,0.77275,0.07969,0.74304,0.21854,0.008812,0.008812,0.008812
14,6703.1,0.05646,1.07118,0.88937,0.6665,0.73464,0.77329,0.77325,0.11042,0.75642,0.25827,0.008713,0.008713,0.008713
15,7191.82,0.05581,1.05769,0.88719,0.6733,0.7417,0.78177,0.78157,0.15273,0.76466,0.30125,0.008614,0.008614,0.008614
16,7677.04,0.05508,1.0589,0.88936,0.67355,0.75463,0.78155,0.78075,0.21472,0.78538,0.37715,0.008515,0.008515,0.008515
17,8164.6,0.05481,1.05094,0.88881,0.705,0.73437,0.79419,0.79419,0.1436,0.70855,0.28859,0.008416,0.008416,0.008416
18,8651.72,0.055,1.0552,0.88727,0.69513,0.74221,0.79088,0.79078,0.15728,0.72942,0.29725,0.008317,0.008317,0.008317
19,9138.36,0.05329,1.05433,0.88906,0.68804,0.76083,0.79823,0.79775,0.17418,0.74393,0.33618,0.008218,0.008218,0.008218
20,9621.72,0.0538,1.05495,0.88786,0.67077,0.75982,0.78877,0.78858,0.17984,0.7778,0.34012,0.008119,0.008119,0.008119
21,10108.9,0.05213,1.05148,0.88707,0.69293,0.74813,0.79652,0.79633,0.1401,0.72909,0.28945,0.00802,0.00802,0.00802
22,10596.1,0.05184,1.04154,0.8877,0.68333,0.76728,0.79611,0.79595,0.18282,0.75034,0.34452,0.007921,0.007921,0.007921
23,11081.6,0.05141,1.04152,0.88793,0.67733,0.77351,0.79735,0.79726,0.18628,0.75331,0.34262,0.007822,0.007822,0.007822
24,11563.6,0.05107,1.04009,0.88742,0.68454,0.77188,0.79744,0.79728,0.15214,0.73638,0.304,0.007723,0.007723,0.007723
25,12047.4,0.05052,1.03586,0.88845,0.68719,0.76677,0.80092,0.80044,0.21229,0.75833,0.38312,0.007624,0.007624,0.007624
26,12536.9,0.05065,1.02878,0.88811,0.7083,0.76319,0.80729,0.80722,0.14576,0.72206,0.30563,0.007525,0.007525,0.007525
27,13022.8,0.05024,1.02598,0.88838,0.71106,0.76152,0.81417,0.81417,0.10163,0.68018,0.2412,0.007426,0.007426,0.007426
28,13504.6,0.04976,1.02749,0.88725,0.72048,0.7531,0.8104,0.8104,0.13254,0.6898,0.27366,0.007327,0.007327,0.007327
29,13991.1,0.04951,1.02692,0.8872,0.71599,0.74651,0.81065,0.81065,0.13152,0.69315,0.27531,0.007228,0.007228,0.007228
30,14478.4,0.04899,1.02194,0.88709,0.719,0.75307,0.81454,0.81452,0.1641,0.70557,0.31303,0.007129,0.007129,0.007129
31,14967,0.04865,1.01873,0.88896,0.69862,0.77952,0.81747,0.81747,0.10016,0.66844,0.23701,0.00703,0.00703,0.00703
32,15454.5,0.04806,1.01859,0.88646,0.69538,0.78451,0.81668,0.81668,0.12061,0.69027,0.26181,0.006931,0.006931,0.006931
33,15939.3,0.04813,1.01773,0.88737,0.70175,0.78166,0.81703,0.81697,0.1642,0.69548,0.31428,0.006832,0.006832,0.006832
34,16428.5,0.04692,1.01304,0.88602,0.71255,0.7728,0.81803,0.81801,0.15475,0.69467,0.3011,0.006733,0.006733,0.006733
35,16916.1,0.04666,1.00456,0.88561,0.72255,0.7664,0.81771,0.81771,0.14194,0.70634,0.29789,0.006634,0.006634,0.006634
36,17402.3,0.04639,1.00492,0.88776,0.70975,0.77387,0.81661,0.8159,0.18831,0.72676,0.35092,0.006535,0.006535,0.006535
37,17886.2,0.04642,1.00516,0.88735,0.70119,0.78306,0.81915,0.81813,0.21308,0.72565,0.38097,0.006436,0.006436,0.006436
38,18358.6,0.04636,0.99806,0.88684,0.69153,0.79442,0.8208,0.81979,0.2225,0.72122,0.39435,0.006337,0.006337,0.006337
39,18831.2,0.04615,0.99933,0.88701,0.7348,0.7459,0.82123,0.82112,0.17749,0.71203,0.34,0.006238,0.006238,0.006238
40,19303.8,0.04545,0.99653,0.88667,0.7129,0.77167,0.82048,0.82017,0.20077,0.71821,0.3644,0.006139,0.006139,0.006139
41,19791.3,0.04567,0.99721,0.88747,0.72332,0.76462,0.8219,0.82188,0.158,0.71017,0.31641,0.00604,0.00604,0.00604
42,20279.4,0.0465,0.9927,0.8888,0.72597,0.75914,0.82076,0.82073,0.17377,0.72737,0.33348,0.005941,0.005941,0.005941
43,20768.4,0.04416,0.99126,0.88653,0.7276,0.76121,0.82299,0.82299,0.10861,0.68596,0.25326,0.005842,0.005842,0.005842
44,21256.5,0.04555,0.9931,0.88721,0.72958,0.7681,0.82596,0.82596,0.08838,0.65844,0.23261,0.005743,0.005743,0.005743
45,21746.3,0.04398,0.98409,0.88704,0.7281,0.77337,0.82727,0.82727,0.09235,0.6601,0.23798,0.005644,0.005644,0.005644
46,22228.7,0.04329,0.97684,0.88534,0.71376,0.79406,0.82777,0.82777,0.08336,0.64959,0.22637,0.005545,0.005545,0.005545
47,22717.4,0.04273,0.97379,0.8859,0.7195,0.78678,0.82782,0.82782,0.11954,0.68671,0.27359,0.005446,0.005446,0.005446
48,23209.5,0.04243,0.97769,0.8874,0.71744,0.78658,0.82723,0.82723,0.13913,0.69947,0.30032,0.005347,0.005347,0.005347
49,23699.1,0.04216,0.97298,0.88599,0.71533,0.78918,0.82736,0.82736,0.13884,0.69996,0.29763,0.005248,0.005248,0.005248
50,24187.4,0.0425,0.96675,0.88413,0.72742,0.77228,0.82767,0.82767,0.14369,0.70571,0.30115,0.005149,0.005149,0.005149
51,24678.6,0.04219,0.97318,0.88596,0.72561,0.77704,0.8281,0.8281,0.14927,0.70914,0.30782,0.00505,0.00505,0.00505
52,25155.6,0.04177,0.9653,0.88362,0.72031,0.78328,0.82854,0.82854,0.149,0.70684,0.30839,0.004951,0.004951,0.004951
53,25633.3,0.0415,0.96267,0.88676,0.72108,0.78126,0.82902,0.82902,0.14746,0.70596,0.3066,0.004852,0.004852,0.004852
54,26103.7,0.04246,0.95435,0.88757,0.72853,0.77403,0.82996,0.82996,0.14357,0.70399,0.30228,0.004753,0.004753,0.004753
55,26570.2,0.04051,0.95609,0.88534,0.73571,0.76642,0.83027,0.83027,0.14388,0.70317,0.30287,0.004654,0.004654,0.004654
56,27050.3,0.04051,0.95957,0.88507,0.73502,0.76832,0.8305,0.8305,0.13973,0.70252,0.29687,0.004555,0.004555,0.004555
57,27548.7,0.04025,0.9506,0.88412,0.73497,0.76681,0.83029,0.83029,0.13228,0.7027,0.28604,0.004456,0.004456,0.004456
58,28049.6,0.03986,0.95063,0.8855,0.72934,0.77373,0.83007,0.83007,0.12639,0.70195,0.27747,0.004357,0.004357,0.004357
59,28537,0.03917,0.95306,0.88582,0.72947,0.77363,0.83016,0.83016,0.12808,0.70353,0.27993,0.004258,0.004258,0.004258
60,29021.1,0.03918,0.94257,0.88529,0.73007,0.77143,0.8301,0.8301,0.12741,0.70404,0.27912,0.004159,0.004159,0.004159
61,29492.5,0.03881,0.94572,0.88612,0.72884,0.77389,0.83035,0.83035,0.12366,0.70237,0.27387,0.00406,0.00406,0.00406
62,29960.9,0.03884,0.93568,0.88274,0.73306,0.769,0.8305,0.8305,0.12022,0.70187,0.26906,0.003961,0.003961,0.003961
63,30425.5,0.03868,0.93855,0.88613,0.73187,0.77367,0.83053,0.83053,0.11327,0.69867,0.25936,0.003862,0.003862,0.003862
64,30888.9,0.03798,0.94312,0.88478,0.73277,0.77169,0.83051,0.83051,0.11221,0.69757,0.25767,0.003763,0.003763,0.003763
65,31355.5,0.03797,0.93289,0.88479,0.72854,0.77519,0.83049,0.83049,0.11266,0.69894,0.25807,0.003664,0.003664,0.003664
66,31817.1,0.03745,0.92738,0.88453,0.74056,0.76383,0.83072,0.83072,0.1081,0.69455,0.25196,0.003565,0.003565,0.003565
67,32281.5,0.03689,0.9209,0.88639,0.74605,0.75938,0.83059,0.83059,0.10634,0.69289,0.24982,0.003466,0.003466,0.003466
68,32749.6,0.03675,0.92344,0.88538,0.74161,0.76475,0.83061,0.83061,0.10563,0.69293,0.24843,0.003367,0.003367,0.003367
69,33216.6,0.03626,0.92275,0.88611,0.74375,0.76401,0.83083,0.83083,0.10433,0.69211,0.24625,0.003268,0.003268,0.003268
70,33685.7,0.03688,0.921,0.88619,0.74302,0.76447,0.83046,0.83046,0.10673,0.69558,0.24891,0.003169,0.003169,0.003169
71,34151.8,0.03582,0.91051,0.88451,0.74125,0.76415,0.83038,0.83038,0.10904,0.6982,0.25149,0.00307,0.00307,0.00307
72,34616.7,0.03544,0.91439,0.88535,0.74058,0.76584,0.83056,0.83056,0.10728,0.69766,0.24872,0.002971,0.002971,0.002971
73,35092.2,0.03524,0.9061,0.88502,0.74184,0.76449,0.83065,0.83065,0.10439,0.69559,0.24464,0.002872,0.002872,0.002872
74,35566.9,0.03513,0.90639,0.8842,0.7423,0.76318,0.83063,0.83063,0.1052,0.69726,0.24548,0.002773,0.002773,0.002773
75,36032.4,0.0369,0.89857,0.88432,0.7405,0.76339,0.83045,0.83045,0.10515,0.69816,0.24519,0.002674,0.002674,0.002674
76,36499.3,0.0345,0.89209,0.88378,0.73871,0.76469,0.83046,0.83046,0.10616,0.69986,0.24637,0.002575,0.002575,0.002575
77,36963.3,0.03396,0.89435,0.88271,0.74628,0.75706,0.83048,0.83048,0.10796,0.7023,0.2485,0.002476,0.002476,0.002476
78,37431.2,0.03357,0.88732,0.88567,0.74678,0.75575,0.8303,0.8303,0.10728,0.70259,0.24732,0.002377,0.002377,0.002377
79,37895.4,0.03334,0.88956,0.88534,0.74625,0.75502,0.83003,0.83003,0.10677,0.70298,0.24665,0.002278,0.002278,0.002278
80,38363.8,0.03343,0.88563,0.8858,0.74683,0.75455,0.82984,0.82984,0.10791,0.70476,0.2482,0.002179,0.002179,0.002179
81,38832,0.03252,0.87575,0.88413,0.74626,0.75448,0.82978,0.82978,0.1075,0.70556,0.2472,0.00208,0.00208,0.00208
82,39298.4,0.03304,0.88106,0.88598,0.7438,0.75656,0.82966,0.82966,0.10846,0.70793,0.24795,0.001981,0.001981,0.001981
83,39766.7,0.03172,0.87097,0.88457,0.73419,0.76377,0.82939,0.82939,0.11094,0.71212,0.25077,0.001882,0.001882,0.001882
